Sex;Age;Periodo;Total
Both genders;Total;2021;380.786
Both genders;Total;2020;248.561
Both genders;Total;2019;296.248
Both genders;Total;2018;309.526
Both genders;Total;2017;368.860
Both genders;Total;2016;327.325
Both genders;Total;2015;343.875
Both genders;Total;2014;400.430
Both genders;Total;2013;532.303
Both genders;Total;2012;446.606
Both genders;Total;2011;409.034
Both genders;Total;2010;403.379
Both genders;Total;2009;380.118
Both genders;Total;2008;288.432
Both genders;0 years old;2021;231
Both genders;0 years old;2020;232
Both genders;0 years old;2019;312
Both genders;0 years old;2018;398
Both genders;0 years old;2017;398
Both genders;0 years old;2016;974
Both genders;0 years old;2015;1.101
Both genders;0 years old;2014;1.558
Both genders;0 years old;2013;2.267
Both genders;0 years old;2012;2.279
Both genders;0 years old;2011;2.196
Both genders;0 years old;2010;2.573
Both genders;0 years old;2009;2.898
Both genders;0 years old;2008;2.415
Both genders;1 year old;2021;621
Both genders;1 year old;2020;598
Both genders;1 year old;2019;648
Both genders;1 year old;2018;730
Both genders;1 year old;2017;795
Both genders;1 year old;2016;2.061
Both genders;1 year old;2015;2.448
Both genders;1 year old;2014;3.334
Both genders;1 year old;2013;5.331
Both genders;1 year old;2012;4.694
Both genders;1 year old;2011;4.680
Both genders;1 year old;2010;4.235
Both genders;1 year old;2009;3.916
Both genders;1 year old;2008;2.650
Both genders;2 years old;2021;2.606
Both genders;2 years old;2020;1.770
Both genders;2 years old;2019;2.174
Both genders;2 years old;2018;2.354
Both genders;2 years old;2017;2.610
Both genders;2 years old;2016;2.848
Both genders;2 years old;2015;3.479
Both genders;2 years old;2014;4.144
Both genders;2 years old;2013;5.834
Both genders;2 years old;2012;5.005
Both genders;2 years old;2011;4.792
Both genders;2 years old;2010;4.373
Both genders;2 years old;2009;3.711
Both genders;2 years old;2008;2.614
Both genders;3 years old;2021;2.496
Both genders;3 years old;2020;1.727
Both genders;3 years old;2019;1.931
Both genders;3 years old;2018;2.067
Both genders;3 years old;2017;2.458
Both genders;3 years old;2016;2.959
Both genders;3 years old;2015;3.291
Both genders;3 years old;2014;3.777
Both genders;3 years old;2013;5.156
Both genders;3 years old;2012;4.636
Both genders;3 years old;2011;4.021
Both genders;3 years old;2010;3.468
Both genders;3 years old;2009;3.284
Both genders;3 years old;2008;2.380
Both genders;4 years old;2021;2.857
Both genders;4 years old;2020;1.900
Both genders;4 years old;2019;2.140
Both genders;4 years old;2018;2.417
Both genders;4 years old;2017;2.795
Both genders;4 years old;2016;3.264
Both genders;4 years old;2015;3.491
Both genders;4 years old;2014;4.062
Both genders;4 years old;2013;4.969
Both genders;4 years old;2012;4.109
Both genders;4 years old;2011;3.567
Both genders;4 years old;2010;3.678
Both genders;4 years old;2009;3.254
Both genders;4 years old;2008;2.300
Both genders;5 years old;2021;2.910
Both genders;5 years old;2020;1.940
Both genders;5 years old;2019;2.258
Both genders;5 years old;2018;2.535
Both genders;5 years old;2017;3.187
Both genders;5 years old;2016;3.697
Both genders;5 years old;2015;3.838
Both genders;5 years old;2014;4.289
Both genders;5 years old;2013;4.868
Both genders;5 years old;2012;3.900
Both genders;5 years old;2011;3.535
Both genders;5 years old;2010;3.422
Both genders;5 years old;2009;3.269
Both genders;5 years old;2008;2.464
Both genders;6 years old;2021;3.268
Both genders;6 years old;2020;2.241
Both genders;6 years old;2019;2.676
Both genders;6 years old;2018;3.164
Both genders;6 years old;2017;3.995
Both genders;6 years old;2016;3.774
Both genders;6 years old;2015;3.985
Both genders;6 years old;2014;3.980
Both genders;6 years old;2013;4.389
Both genders;6 years old;2012;3.486
Both genders;6 years old;2011;3.161
Both genders;6 years old;2010;3.327
Both genders;6 years old;2009;3.141
Both genders;6 years old;2008;2.355
Both genders;7 years old;2021;2.929
Both genders;7 years old;2020;2.095
Both genders;7 years old;2019;2.439
Both genders;7 years old;2018;2.955
Both genders;7 years old;2017;3.614
Both genders;7 years old;2016;3.439
Both genders;7 years old;2015;3.465
Both genders;7 years old;2014;3.292
Both genders;7 years old;2013;3.948
Both genders;7 years old;2012;3.522
Both genders;7 years old;2011;3.191
Both genders;7 years old;2010;3.024
Both genders;7 years old;2009;2.887
Both genders;7 years old;2008;2.318
Both genders;8 years old;2021;2.753
Both genders;8 years old;2020;2.137
Both genders;8 years old;2019;2.377
Both genders;8 years old;2018;2.810
Both genders;8 years old;2017;3.488
Both genders;8 years old;2016;3.253
Both genders;8 years old;2015;3.003
Both genders;8 years old;2014;3.300
Both genders;8 years old;2013;3.858
Both genders;8 years old;2012;3.246
Both genders;8 years old;2011;2.897
Both genders;8 years old;2010;2.957
Both genders;8 years old;2009;2.908
Both genders;8 years old;2008;2.282
Both genders;9 years old;2021;2.887
Both genders;9 years old;2020;2.083
Both genders;9 years old;2019;2.486
Both genders;9 years old;2018;2.705
Both genders;9 years old;2017;3.307
Both genders;9 years old;2016;2.764
Both genders;9 years old;2015;2.830
Both genders;9 years old;2014;3.214
Both genders;9 years old;2013;3.803
Both genders;9 years old;2012;3.248
Both genders;9 years old;2011;2.870
Both genders;9 years old;2010;2.911
Both genders;9 years old;2009;2.882
Both genders;9 years old;2008;2.140
Both genders;10 years old;2021;3.040
Both genders;10 years old;2020;2.127
Both genders;10 years old;2019;2.504
Both genders;10 years old;2018;2.838
Both genders;10 years old;2017;3.197
Both genders;10 years old;2016;2.858
Both genders;10 years old;2015;2.914
Both genders;10 years old;2014;3.441
Both genders;10 years old;2013;4.081
Both genders;10 years old;2012;3.556
Both genders;10 years old;2011;3.182
Both genders;10 years old;2010;3.173
Both genders;10 years old;2009;2.739
Both genders;10 years old;2008;2.218
Both genders;11 years old;2021;3.275
Both genders;11 years old;2020;2.328
Both genders;11 years old;2019;2.534
Both genders;11 years old;2018;2.791
Both genders;11 years old;2017;3.181
Both genders;11 years old;2016;2.809
Both genders;11 years old;2015;3.157
Both genders;11 years old;2014;3.365
Both genders;11 years old;2013;3.708
Both genders;11 years old;2012;3.394
Both genders;11 years old;2011;3.110
Both genders;11 years old;2010;3.013
Both genders;11 years old;2009;2.937
Both genders;11 years old;2008;2.090
Both genders;12 years old;2021;3.211
Both genders;12 years old;2020;2.143
Both genders;12 years old;2019;2.335
Both genders;12 years old;2018;2.526
Both genders;12 years old;2017;3.019
Both genders;12 years old;2016;2.736
Both genders;12 years old;2015;2.731
Both genders;12 years old;2014;3.134
Both genders;12 years old;2013;3.981
Both genders;12 years old;2012;3.504
Both genders;12 years old;2011;3.003
Both genders;12 years old;2010;2.893
Both genders;12 years old;2009;2.805
Both genders;12 years old;2008;2.050
Both genders;13 years old;2021;2.881
Both genders;13 years old;2020;1.944
Both genders;13 years old;2019;2.180
Both genders;13 years old;2018;2.405
Both genders;13 years old;2017;2.843
Both genders;13 years old;2016;2.584
Both genders;13 years old;2015;2.634
Both genders;13 years old;2014;3.121
Both genders;13 years old;2013;4.070
Both genders;13 years old;2012;3.357
Both genders;13 years old;2011;3.076
Both genders;13 years old;2010;2.774
Both genders;13 years old;2009;2.800
Both genders;13 years old;2008;2.076
Both genders;14 years old;2021;2.731
Both genders;14 years old;2020;1.944
Both genders;14 years old;2019;2.156
Both genders;14 years old;2018;2.461
Both genders;14 years old;2017;2.737
Both genders;14 years old;2016;2.546
Both genders;14 years old;2015;2.675
Both genders;14 years old;2014;3.241
Both genders;14 years old;2013;4.080
Both genders;14 years old;2012;3.333
Both genders;14 years old;2011;3.045
Both genders;14 years old;2010;2.973
Both genders;14 years old;2009;2.719
Both genders;14 years old;2008;2.092
Both genders;15 years old;2021;2.732
Both genders;15 years old;2020;1.861
Both genders;15 years old;2019;2.109
Both genders;15 years old;2018;2.395
Both genders;15 years old;2017;2.729
Both genders;15 years old;2016;2.448
Both genders;15 years old;2015;2.829
Both genders;15 years old;2014;3.356
Both genders;15 years old;2013;4.214
Both genders;15 years old;2012;3.274
Both genders;15 years old;2011;2.946
Both genders;15 years old;2010;2.919
Both genders;15 years old;2009;2.673
Both genders;15 years old;2008;1.896
Both genders;16 years old;2021;2.814
Both genders;16 years old;2020;1.922
Both genders;16 years old;2019;2.169
Both genders;16 years old;2018;2.359
Both genders;16 years old;2017;2.876
Both genders;16 years old;2016;2.557
Both genders;16 years old;2015;2.748
Both genders;16 years old;2014;3.186
Both genders;16 years old;2013;4.143
Both genders;16 years old;2012;3.353
Both genders;16 years old;2011;2.963
Both genders;16 years old;2010;2.719
Both genders;16 years old;2009;2.494
Both genders;16 years old;2008;1.922
Both genders;17 years old;2021;2.733
Both genders;17 years old;2020;1.900
Both genders;17 years old;2019;2.136
Both genders;17 years old;2018;2.356
Both genders;17 years old;2017;2.912
Both genders;17 years old;2016;2.509
Both genders;17 years old;2015;2.621
Both genders;17 years old;2014;3.124
Both genders;17 years old;2013;4.229
Both genders;17 years old;2012;3.298
Both genders;17 years old;2011;2.868
Both genders;17 years old;2010;2.873
Both genders;17 years old;2009;2.664
Both genders;17 years old;2008;1.904
Both genders;18 years old;2021;2.962
Both genders;18 years old;2020;2.053
Both genders;18 years old;2019;2.405
Both genders;18 years old;2018;2.600
Both genders;18 years old;2017;3.000
Both genders;18 years old;2016;2.967
Both genders;18 years old;2015;2.915
Both genders;18 years old;2014;3.597
Both genders;18 years old;2013;4.960
Both genders;18 years old;2012;3.893
Both genders;18 years old;2011;3.593
Both genders;18 years old;2010;3.413
Both genders;18 years old;2009;3.027
Both genders;18 years old;2008;2.487
Both genders;19 years old;2021;3.286
Both genders;19 years old;2020;2.353
Both genders;19 years old;2019;2.687
Both genders;19 years old;2018;2.676
Both genders;19 years old;2017;3.108
Both genders;19 years old;2016;3.048
Both genders;19 years old;2015;3.409
Both genders;19 years old;2014;3.635
Both genders;19 years old;2013;5.564
Both genders;19 years old;2012;4.467
Both genders;19 years old;2011;4.119
Both genders;19 years old;2010;4.043
Both genders;19 years old;2009;3.937
