Sex;Age;Functions;Period;Total
Both genders;0 years old;Mortality rate;2022;2.558497
Both genders;0 years old;Mortality rate;2021;2.528381
Both genders;0 years old;Mortality rate;2020;2.521610
Both genders;0 years old;Mortality rate;2019;2.598654
Both genders;0 years old;Mortality rate;2018;2.622017
Both genders;1 year old;Mortality rate;2022;0.245224
Both genders;1 year old;Mortality rate;2021;0.188329
Both genders;1 year old;Mortality rate;2020;0.200190
Both genders;1 year old;Mortality rate;2019;0.207707
Both genders;1 year old;Mortality rate;2018;0.205064
Both genders;2 years old;Mortality rate;2022;0.194758
Both genders;2 years old;Mortality rate;2021;0.103185
Both genders;2 years old;Mortality rate;2020;0.105360
Both genders;2 years old;Mortality rate;2019;0.136460
Both genders;2 years old;Mortality rate;2018;0.106659
Both genders;3 years old;Mortality rate;2022;0.122356
Both genders;3 years old;Mortality rate;2021;0.096785
Both genders;3 years old;Mortality rate;2020;0.108627
Both genders;3 years old;Mortality rate;2019;0.100656
Both genders;3 years old;Mortality rate;2018;0.111258
Both genders;4 years old;Mortality rate;2022;0.112781
Both genders;4 years old;Mortality rate;2021;0.079098
Both genders;4 years old;Mortality rate;2020;0.051003
Both genders;4 years old;Mortality rate;2019;0.100782
Both genders;4 years old;Mortality rate;2018;0.103745
Both genders;5 years old;Mortality rate;2022;0.080359
Both genders;5 years old;Mortality rate;2021;0.078346
Both genders;5 years old;Mortality rate;2020;0.065765
Both genders;5 years old;Mortality rate;2019;0.059259
Both genders;5 years old;Mortality rate;2018;0.096565
Both genders;6 years old;Mortality rate;2022;0.090891
Both genders;6 years old;Mortality rate;2021;0.063092
Both genders;6 years old;Mortality rate;2020;0.060966
Both genders;6 years old;Mortality rate;2019;0.055565
Both genders;6 years old;Mortality rate;2018;0.068676
Both genders;7 years old;Mortality rate;2022;0.068829
Both genders;7 years old;Mortality rate;2021;0.094198
Both genders;7 years old;Mortality rate;2020;0.061696
Both genders;7 years old;Mortality rate;2019;0.061716
Both genders;7 years old;Mortality rate;2018;0.060711
Both genders;8 years old;Mortality rate;2022;0.079563
Both genders;8 years old;Mortality rate;2021;0.078785
Both genders;8 years old;Mortality rate;2020;0.061225
Both genders;8 years old;Mortality rate;2019;0.049826
Both genders;8 years old;Mortality rate;2018;0.079977
Both genders;9 years old;Mortality rate;2022;0.064706
Both genders;9 years old;Mortality rate;2021;0.054570
Both genders;9 years old;Mortality rate;2020;0.041204
Both genders;9 years old;Mortality rate;2019;0.063021
Both genders;9 years old;Mortality rate;2018;0.057457
Both genders;10 years old;Mortality rate;2022;0.084910
Both genders;10 years old;Mortality rate;2021;0.081921
Both genders;10 years old;Mortality rate;2020;0.050441
Both genders;10 years old;Mortality rate;2019;0.076706
Both genders;10 years old;Mortality rate;2018;0.064987
Both genders;11 years old;Mortality rate;2022;0.066760
Both genders;11 years old;Mortality rate;2021;0.078281
Both genders;11 years old;Mortality rate;2020;0.082094
Both genders;11 years old;Mortality rate;2019;0.078280
Both genders;11 years old;Mortality rate;2018;0.074386
Both genders;12 years old;Mortality rate;2022;0.081295
Both genders;12 years old;Mortality rate;2021;0.079768
Both genders;12 years old;Mortality rate;2020;0.060328
Both genders;12 years old;Mortality rate;2019;0.045957
Both genders;12 years old;Mortality rate;2018;0.069175
