Sex;Age;Periodo;Total
Both genders;Total;2021;528.856
Both genders;Total;2020;467.918
Both genders;Total;2019;750.480
Both genders;Total;2018;643.684
Both genders;Total;2017;532.132
Both genders;Total;2016;414.746
Both genders;Total;2015;342.114
Both genders;Total;2014;305.454
Both genders;Total;2013;280.772
Both genders;Total;2012;304.054
Both genders;Total;2011;371.335
Both genders;Total;2010;360.704
Both genders;Total;2009;392.963
Both genders;Total;2008;599.074
Both genders;0 years old;2021;3.689
Both genders;0 years old;2020;3.303
Both genders;0 years old;2019;5.467
Both genders;0 years old;2018;5.375
Both genders;0 years old;2017;5.585
Both genders;0 years old;2016;5.298
Both genders;0 years old;2015;4.802
Both genders;0 years old;2014;4.147
Both genders;0 years old;2013;4.135
Both genders;0 years old;2012;4.042
Both genders;0 years old;2011;4.617
Both genders;0 years old;2010;4.646
Both genders;0 years old;2009;4.534
Both genders;0 years old;2008;5.583
Both genders;1 year old;2021;4.952
Both genders;1 year old;2020;4.626
Both genders;1 year old;2019;7.926
Both genders;1 year old;2018;7.383
Both genders;1 year old;2017;7.008
Both genders;1 year old;2016;5.648
Both genders;1 year old;2015;4.681
Both genders;1 year old;2014;3.858
Both genders;1 year old;2013;3.459
Both genders;1 year old;2012;3.498
Both genders;1 year old;2011;4.422
Both genders;1 year old;2010;4.353
Both genders;1 year old;2009;4.524
Both genders;1 year old;2008;5.847
Both genders;2 years old;2021;5.259
Both genders;2 years old;2020;4.966
Both genders;2 years old;2019;8.252
Both genders;2 years old;2018;7.587
Both genders;2 years old;2017;6.634
Both genders;2 years old;2016;5.212
Both genders;2 years old;2015;4.322
Both genders;2 years old;2014;3.748
Both genders;2 years old;2013;3.362
Both genders;2 years old;2012;3.328
Both genders;2 years old;2011;4.177
Both genders;2 years old;2010;4.127
Both genders;2 years old;2009;4.483
Both genders;2 years old;2008;5.667
Both genders;3 years old;2021;5.501
Both genders;3 years old;2020;5.031
Both genders;3 years old;2019;8.365
Both genders;3 years old;2018;7.341
Both genders;3 years old;2017;6.215
Both genders;3 years old;2016;5.024
Both genders;3 years old;2015;3.972
Both genders;3 years old;2014;3.399
Both genders;3 years old;2013;3.153
Both genders;3 years old;2012;3.162
Both genders;3 years old;2011;3.812
Both genders;3 years old;2010;3.980
Both genders;3 years old;2009;4.176
Both genders;3 years old;2008;5.781
Both genders;4 years old;2021;5.668
Both genders;4 years old;2020;4.993
Both genders;4 years old;2019;8.354
Both genders;4 years old;2018;7.013
